"COFOG.code","Name","X2008","X2009","X2010","X2011","X2012","X2013"
"010","General public services",30653700,31973100,31029000,32437000,33324100,33406500
"0101","Executive and legislative organs, financial, fiscal and external affairs",8572700,9738400,9398300,9842300,10021800,10647000
"0102","Foreign economic aid",1034600,1080500,1133600,1317800,996600,1014400
"0103","General services",3909500,4247900,3785800,3989000,4253100,4314800
"0104","Basic research",3420000,3704100,3846400,3948900,4320700,4435300
"0105","RandD General public services",58100,64500,56200,61500,50500,51900
"0106","General public services n.e.c.",83000,96700,76600,103700,125200,129300
"0107","Public debt transactions",13570000,13035200,12728300,13170400,13551200,12809200
"0108","Transfers of a general character between different levels of government",5800,5700,3900,3300,4900,4700
"020","Defence",3761500,3513600,3553400,3584600,3588500,3676700
"0201","Military defence",3609600,3394600,3418900,3432500,3449600,3558000
"0202","Civil defence",0,0,0,0,0,0
"0203","Foreign military aid",117700,88300,102000,119700,105700,83000
"0204","RandD Defence",24400,4900,22500,22300,23800,26200
"0205","Defence n.e.c.",9800,25800,10000,10100,9400,9400
"030","Public order and safety",6146600,6435900,6604000,6878700,7052300,7294400
"0301","Police services",3718500,3897400,3984400,3925100,4081600,4189100
"0302","Fire-protection services",699500,750700,773900,829200,854600,887800
"0303","Law courts",1011900,990200,1034300,1060300,1123400,1074700
"0304","Prisons",464200,508000,539700,575600,617600,617500
"0305","RandD Public order and safety",9900,18000,17400,15700,10500,10500
"0306","Public order and safety n.e.c.",242600,271500,254500,472800,364600,514700
"040","Economic affairs",20771600,22535900,24033500,26431200,29011100,26182000
"0401","General economic, commercial and labour affairs",8946600,10250500,11724500,13172000,15529700,12957000
"0402","Agriculture, forestry, fishing and hunting",244200,226900,246900,197900,228000,259800
"0403","Fuel and energy",464400,638700,688400,844000,979700,1098200
"0404","Mining, manufacturing and construction",6300,4500,3900,6600,16500,14100
"0405","Transport",9432100,9717400,9761500,10515400,10472600,10403900
"0406","Communication",416400,370700,222900,310900,321800,-53600
"0407","Other industries",465500,484900,475000,415300,419000,425400
"0408","RandD Economic affairs",776200,824600,891900,946800,1012700,1048900
"0409","Economic affairs n.e.c.",19900,17800,18600,22400,31200,28300
"050","Environment protection",2115000,2215300,2665300,3603000,3522100,3787600
"0501","Waste management",997200,1043900,1104100,1127600,1153900,1157200
"0502","Waste water management",203300,193400,25100,124100,181700,215900
"0503","Pollution abatement",251800,283900,794000,1549900,1378600,1542500
"0504","Protection of biodiversity and landscape",177000,158400,170300,189200,172200,209400
"0505","RandD Environmental protection",41400,26700,36800,37200,43000,38300
"0506","Environmental protection n.e.c.",444300,509000,535000,574900,592900,624300
"060","Housing and community amenities",1222400,1033500,1295000,1379100,1489000,1288800
"0601","Housing development",423800,399900,505300,532500,564300,445000
"0602","Community development",279600,297800,326600,357600,385000,315400
"0603","Water supply",240100,36200,147100,189500,231200,198700
"0604","Street lighting",217400,231300,240900,222000,244300,261300
"0605","RandD Housing and community amenities",2200,1900,1300,1100,2300,2300
"0606","Housing and community amenities n.e.c.",59400,66200,73900,76500,61800,66100
"070","Health",25287300,26876100,27870800,29085400,30829700,31354900
"0701","Medical products, appliances and equipment",3095300,3245200,3281100,3414100,3354400,3272900
"0702","Outpatient services",8726800,9510300,9781000,10338000,10936300,11304300
"0703","Hospital services",12347700,12911200,13516900,13771500,14725100,15253900
"0704","Public health services",449200,533100,549600,547700,582600,564100
"0705","RandD Health",52700,52700,38900,35800,36100,32100
"0706","Health n.e.c.",615600,623500,703200,978300,1195200,927600
"080","Recreation, culture and religion",4283900,3952800,4522300,4668600,4939000,5055300
"0801","Recreational and sporting services",1275800,1349400,1391900,1412600,1545000,1590700
"0802","Cultural services",1646500,1204200,1764400,1881400,1945000,2053700
"0803","Broadcasting and publishing services",914000,925100,882200,848500,884900,927600
"0804","Religious and other community services",275900,281600,280400,310100,341800,268600
"0805","RandD Recreation, culture and religion",30500,31200,32500,34200,31700,30400
"0806","Recreation, culture and religion n.e.c.",141100,161300,171000,181700,190600,184200
"090","Education",20128800,20990800,22308000,23766000,24566200,25286300
"0901","Pre-primary and primary education",6592300,6675500,7060000,7399100,7702500,7968400
"0902","Secondary education",8383400,8535000,8928500,9275400,9548600,9770200
"0903","Post-secondary non-tertiary education",100,0,0,0,0,0
"0904","Tertiary education",2569300,2974500,3869300,4445100,4627100,4674900
"0905","Education not definable by level",1571200,1710600,1212500,1328300,1300800,1577800
"0906","Subsidiary services to education",460400,520500,605100,695500,812700,734600
"0907","RandD Education",4100,6300,5600,4000,5000,6700
"0908","Education n.e.c.",548000,568400,627000,618500,569300,553600
"100","Social protection",61159000,66528000,67512900,70448500,74380200,77745100
"1001","Sickness and disability",8523100,9125800,9284000,9788300,10536800,10885900
"1002","Old age",26105100,28089500,29028900,30406100,32359500,34783300
"1003","Survivors",6557100,6804000,6908900,7111200,7339900,7469800
"1004","Family and children",7897700,8337700,8501800,8994800,9352900,9610500
"1005","Unemployment",7756200,9001500,8920300,8778900,8971900,9253100
"1006","Housing",431700,570600,378500,415000,561900,563900
"1007","Social exclusion n.e.c.",3054900,3574300,3694400,4095700,4291000,4180500
"1008","RandD Social protection",21300,21200,21200,19800,22900,22800
"1009","Social protection n.e.c.",811900,1003400,775000,838700,943400,975400
"T","Total function",175529600,186055000,191394400,202282200,212702200,215077500
